cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
63628450,0001,1,WM SAUDE E PERFORMANCE,08,20260401,20251112,RS,8903
63633625,0001,1,RAFAEL FARIAS PERSONAL TRAINER,02,20251112,20251112,SP,7107
63637728,0001,1,CTAR TREINO E PILATES INTEGRADO,02,20251112,20251112,SP,6163
63639851,0001,1,F2D SPORTS ACADEMIA,02,20251112,20251112,PE,2381
34877240,0002,2,CLINICA BIOVIDA - SAUDE E ESTETICA AVANCADA,02,20251113,20251113,BA,3873
63650294,0001,1,IRON OLD SCHOOL GYM,02,20251113,20251113,GO,1068
07594978,0804,2,,02,20251113,20251113,RJ,5869
63654171,0001,1,JF FITNNES ACADEMIA,02,20251113,20251113,PA,0563
63669591,0001,1,VITAL MOVE PILATES E FISIOTERAPIA,02,20251114,20251114,RJ,5801
63672296,0001,1,B UP SAUDE E PERFORMANCE,02,20251114,20251114,MG,5425
63673190,0001,1,STUDIO LIVIA FANTIN - ACADEMIA DE NATACAO E HIDRO,02,20251114,20251114,ES,5711
63692326,0001,1,FLUIR ARACAJU,02,20251117,20251117,SE,3105
63692996,0001,1,STUDIO M.FIT,02,20251117,20251117,PI,1137
63703283,0001,1,3S ACADEMIA,02,20251117,20251117,GO,9501
63703975,0001,1,JUSTINE TREINAMENTO PERSONALIZADO,02,20251117,20251117,MS,9131
63717518,0001,1,,02,20251118,20251118,RS,8521
47787498,0002,2,,02,20251118,20251118,SP,6393
63726339,0001,1,,02,20251118,20251118,MG,0740
63727117,0001,1,START FIT ACADEMIA,02,20251118,20251118,MA,0937
63731938,0001,1,STUDIO LONGIVUS,02,20251119,20251119,SC,8373
63734508,0001,1,TEAM TELES STUDIO,02,20251119,20251119,SE,3105
63735747,0001,1,G. H. FIT ACADEMIA,02,20251119,20251119,BA,3533
63743820,0001,1,CONSULTORIA ESPORTIVA XTREME,02,20251119,20251119,SP,7107
