nome,uf,populacao
Alta Floresta D'Oeste,RO,22787
Ariquemes,RO,109170
Cabixi,RO,5664
Cacoal,RO,98280
Cerejeiras,RO,16966
Colorado do Oeste,RO,16508
Corumbiara,RO,7968
Costa Marques,RO,13510
Espigão D'Oeste,RO,32842
Guajará-Mirim,RO,43594
Jaru,RO,55682
Ji-Paraná,RO,140101
Machadinho D'Oeste,RO,34149
Nova Brasilândia D'Oeste,RO,16374
Ouro Preto do Oeste,RO,38684
Pimenta Bueno,RO,39220
Porto Velho,RO,517709
Presidente Médici,RO,20443
Rio Crespo,RO,3767
Rolim de Moura,RO,62959
Santa Luzia D'Oeste,RO,7837
Vilhena,RO,109651
São Miguel do Guaporé,RO,22305
Nova Mamoré,RO,28701
Alvorada D'Oeste,RO,13720
Alto Alegre dos Parecis,RO,12237
Alto Paraíso,RO,17467
Buritis,RO,30649
Novo Horizonte do Oeste,RO,7972
Cacaulândia,RO,4292
Campo Novo de Rondônia,RO,9095
Candeias do Jamari,RO,24313
Castanheiras,RO,3450
Chupinguaia,RO,10191
Cujubim,RO,15877
Governador Jorge Teixeira,RO,8340
Itapuã do Oeste,RO,9228
Ministro Andreazza,RO,6519
Mirante da Serra,RO,9657
Monte Negro,RO,12168
Nova União,RO,6541
Parecis,RO,4372
Pimenteiras do Oeste,RO,2309
Primavera de Rondônia,RO,3268
São Felipe D'Oeste,RO,5588
São Francisco do Guaporé,RO,17557
Seringueiras,RO,12965
Teixeirópolis,RO,4521
Theobroma,RO,8459
Urupá,RO,11314
Vale do Anari,RO,8220
Vale do Paraíso,RO,6790
Acrelândia,AC,14712
Assis Brasil,AC,8648
Brasiléia,AC,28028
Bujari,AC,13928
Capixaba,AC,10981
Cruzeiro do Sul,AC,98916
Epitaciolândia,AC,19874
Feijó,AC,37764
Jordão,AC,9884
Mâncio Lima,AC,20479
Manoel Urbano,AC,12923
Marechal Thaumaturgo,AC,18057
Plácido de Castro,AC,17107
Porto Walter,AC,11333
Rio Branco,AC,389001
Rodrigues Alves,AC,15560
Santa Rosa do Purus,AC,7217
Senador Guiomard,AC,22402
Sena Madureira,AC,44049
Tarauacá,AC,46816
Xapuri,AC,19170
Porto Acre,AC,17523
Alvarães,AM,16806
Amaturá,AM,11533
Anamã,AM,9981
Anori,AM,18056
Apuí,AM,21781
Atalaia do Norte,AM,15889
Autazes,AM,45960
Barcelos,AM,18210
Barreirinha,AM,33722
Benjamin Constant,AM,40908
Beruri,AM,22495
Boa Vista do Ramos,AM,26479
Boca do Acre,AM,38792
Borba,AM,34869
Caapiranga,AM,14806
Canutama,AM,18109
Carauari,AM,31130
Careiro,AM,32336
Careiro da Várzea,AM,20324
Coari,AM,73576
Codajás,AM,24572
Eirunepé,AM,35793
Envira,AM,17985
Fonte Boa,AM,28227
Guajará,AM,14344
Humaitá,AM,63454
Ipixuna,AM,25629
Iranduba,AM,68862
Itacoatiara,AM,113917
Itamarati,AM,11956
Itapiranga,AM,10955
Japurá,AM,9420
Juruá,AM,11093
Jutaí,AM,28202
Lábrea,AM,49469
Manacapuru,AM,111751
Manaquiri,AM,16211
Manaus,AM,2303732
Manicoré,AM,58018
Maraã,AM,15815
Maués,AM,66336
Nhamundá,AM,21251
Nova Olinda do Norte,AM,28123
Novo Airão,AM,16562
Novo Aripuanã,AM,25325
Parintins,AM,101855
Pauini,AM,20229
Presidente Figueiredo,AM,33291
Rio Preto da Eva,AM,25364
Santa Isabel do Rio Negro,AM,13947
Santo Antônio do Içá,AM,30679
São Gabriel da Cachoeira,AM,57396
São Paulo de Olivença,AM,35442
São Sebastião do Uatumã,AM,12338
Silves,AM,12619
Tabatinga,AM,73348
Tapauá,AM,20728
Tefé,AM,80137
Tonantins,AM,20257
Uarini,AM,15640
Urucará,AM,19617
Urucurituba,AM,25965
Amajari,RR,16112
Alto Alegre,RR,23589
Boa Vista,RR,485477
Bonfim,RR,15570
Cantá,RR,21102
Caracaraí,RR,22750
Caroebe,RR,12004
Iracema,RR,10937
Mucajaí,RR,20006
Normandia,RR,16323
Pacaraima,RR,23112
Rorainópolis,RR,37787
São João da Baliza,RR,9969
São Luiz do Anauá,RR,7848
Uiramutã,RR,16186
Abaetetuba,PA,172344
Abel Figueiredo,PA,6275
Acará,PA,63110
Afuá,PA,40473
Água Azul do Norte,PA,17596
Alenquer,PA,75882
Almeirim,PA,36442
Altamira,PA,138749
Anajás,PA,30247
Ananindeua,PA,509227
Anapu,PA,35638
Augusto Corrêa,PA,47912
Aurora do Pará,PA,24193
Aveiro,PA,19380
Bagre,PA,35147
Baião,PA,56850
Bannach,PA,4290
Barcarena,PA,139076
Belém,PA,1397315
Belterra,PA,19075
Benevides,PA,68962
Bom Jesus do Tocantins,PA,19129
Bonito,PA,12961
Bragança,PA,132489
Brasil Novo,PA,27130
Brejo Grande do Araguaia,PA,6966
Breu Branco,PA,47066
Breves,PA,116058
Bujaru,PA,25065
Cachoeira do Piriá,PA,19223
Cachoeira do Arari,PA,25467
Cametá,PA,144859
Canaã dos Carajás,PA,89524
Capanema,PA,75309
Capitão Poço,PA,60318
Castanhal,PA,209126
Chaves,PA,21501
Colares,PA,13625
Conceição do Araguaia,PA,47144
Concórdia do Pará,PA,28270
Cumaru do Norte,PA,15150
Curionópolis,PA,20975
Curralinho,PA,36814
Curuá,PA,14954
Curuçá,PA,44880
Dom Eliseu,PA,62823
Eldorado do Carajás,PA,29287
Faro,PA,9167
Floresta do Araguaia,PA,18595
Garrafão do Norte,PA,25558
Goianésia do Pará,PA,26703
Gurupá,PA,34137
Igarapé-Açu,PA,37925
Igarapé-Miri,PA,69446
Inhangapi,PA,10784
Ipixuna do Pará,PA,29264
Irituia,PA,32740
Itaituba,PA,135369
Itupiranga,PA,52201
Jacareacanga,PA,26579
Jacundá,PA,37726
Juruti,PA,54255
Limoeiro do Ajuru,PA,32088
Mãe do Rio,PA,37473
Magalhães Barata,PA,8439
Marabá,PA,290975
Maracanã,PA,27129
Marapanim,PA,28159
Marituba,PA,119437
Medicilândia,PA,28677
Melgaço,PA,30080
Mocajuba,PA,28903
Moju,PA,91760
Mojuí dos Campos,PA,25818
Monte Alegre,PA,64002
Muaná,PA,49648
Nova Esperança do Piriá,PA,21304
Nova Ipixuna,PA,14400
Nova Timboteua,PA,13175
Novo Progresso,PA,37054
Novo Repartimento,PA,63796
Óbidos,PA,55527
Oeiras do Pará,PA,36734
Oriximiná,PA,72889
Ourém,PA,18783
Ourilândia do Norte,PA,35252
Pacajá,PA,43741
Palestina do Pará,PA,7063
Paragominas,PA,113498
Parauapebas,PA,305771
Pau D'Arco,PA,7354
Peixe-Boi,PA,8686
Piçarra,PA,13366
Placas,PA,18510
Ponta de Pedras,PA,25736
Portel,PA,67580
Porto de Moz,PA,44121
Prainha,PA,38733
Primavera,PA,11379
Quatipuru,PA,11838
Redenção,PA,92694
Rio Maria,PA,19190
Rondon do Pará,PA,57031
Rurópolis,PA,37198
Salinópolis,PA,48663
Salvaterra,PA,25687
Santa Bárbara do Pará,PA,22530
Santa Cruz do Arari,PA,7626
Santa Izabel do Pará,PA,79195
Santa Luzia do Pará,PA,21295
Santa Maria das Barreiras,PA,17065
Santa Maria do Pará,PA,25815
Santana do Araguaia,PA,30455
Santarém,PA,360871
Santarém Novo,PA,6355
Santo Antônio do Tauá,PA,29234
São Caetano de Odivelas,PA,17258
São Domingos do Araguaia,PA,21555
São Domingos do Capim,PA,32554
São Félix do Xingu,PA,64651
São Francisco do Pará,PA,15429
São Geraldo do Araguaia,PA,24929
São João da Ponta,PA,4470
São João de Pirabas,PA,21477
São João do Araguaia,PA,14293
São Miguel do Guamá,PA,55970
São Sebastião da Boa Vista,PA,27651
Sapucaia,PA,6212
Senador José Porfírio,PA,24989
Soure,PA,25315
Tailândia,PA,75290
Terra Alta,PA,10837
Terra Santa,PA,19792
Tomé-Açu,PA,73058
Tracuateua,PA,30494
Trairão,PA,15550
Tucumã,PA,42883
Tucuruí,PA,96119
Ulianópolis,PA,39360
Uruará,PA,45962
Vigia,PA,54062
Viseu,PA,62189
Vitória do Xingu,PA,16552
Xinguara,PA,57768
Serra do Navio,AP,5003
Amapá,AP,8440
Pedra Branca do Amapari,AP,13888
Calçoene,AP,11461
Cutias,AP,4723
Ferreira Gomes,AP,7184
Itaubal,AP,6097
Laranjal do Jari,AP,37872
Macapá,AP,489676
Mazagão,AP,23773
Oiapoque,AP,30786
Porto Grande,AP,19048
Pracuúba,AP,4048
Santana,AP,118803
Tartarugalzinho,AP,13816
Vitória do Jari,AP,11899
Abreulândia,TO,2682
Aguiarnópolis,TO,4502
Aliança do Tocantins,TO,5196
Almas,TO,6483
Alvorada,TO,9128
Ananás,TO,10700
Angico,TO,2903
Aparecida do Rio Negro,TO,5110
Aragominas,TO,5330
Araguacema,TO,6022
Araguaçu,TO,8242
Araguaína,TO,183024
Araguanã,TO,4300
Araguatins,TO,33286
Arapoema,TO,5488
Arraias,TO,10511
Augustinópolis,TO,18237
Aurora do Tocantins,TO,3418
Axixá do Tocantins,TO,10732
Babaçulândia,TO,7636
Bandeirantes do Tocantins,TO,3555
Barra do Ouro,TO,4667
Barrolândia,TO,4890
Bernardo Sayão,TO,4307
Bom Jesus do Tocantins,TO,4201
Brasilândia do Tocantins,TO,2013
Brejinho de Nazaré,TO,4774
Buriti do Tocantins,TO,10696
Cachoeirinha,TO,1982
Campos Lindos,TO,8990
Cariri do Tocantins,TO,4166
Carmolândia,TO,2242
Carrasco Bonito,TO,3344
Caseara,TO,5028
Centenário,TO,2111
Chapada de Areia,TO,1574
Chapada da Natividade,TO,3176
Colinas do Tocantins,TO,36209
Combinado,TO,4906
Conceição do Tocantins,TO,3942
Couto Magalhães,TO,5540
Cristalândia,TO,6392
Crixás do Tocantins,TO,1494
Darcinópolis,TO,6093
Dianópolis,TO,17966
Divinópolis do Tocantins,TO,7343
Dois Irmãos do Tocantins,TO,6352
Dueré,TO,4304
Esperantina,TO,7385
Fátima,TO,3503
Figueirópolis,TO,5334
Filadélfia,TO,7784
Formoso do Araguaia,TO,19473
Tabocão,TO,3741
Goianorte,TO,4832
Goiatins,TO,12851
Guaraí,TO,25831
Gurupi,TO,90209
Ipueiras,TO,1626
Itacajá,TO,6959
Itaguatins,TO,5160
Itapiratins,TO,3685
Itaporã do Tocantins,TO,2464
Jaú do Tocantins,TO,3396
Juarina,TO,2308
Lagoa da Confusão,TO,16629
Lagoa do Tocantins,TO,3613
Lajeado,TO,3559
Lavandeira,TO,1676
Lizarda,TO,2950
Luzinópolis,TO,2811
Marianópolis do Tocantins,TO,4793
Mateiros,TO,2922
Maurilândia do Tocantins,TO,3171
Miracema do Tocantins,TO,18679
Miranorte,TO,13073
Monte do Carmo,TO,5667
Monte Santo do Tocantins,TO,2521
Palmeiras do Tocantins,TO,4850
Muricilândia,TO,3501
Natividade,TO,8956
Nazaré,TO,4672
Nova Olinda,TO,10600
Nova Rosalândia,TO,3382
Novo Acordo,TO,4118
Novo Alegre,TO,1817
Novo Jardim,TO,2251
Oliveira de Fátima,TO,1220
Palmeirante,TO,4905
Palmeirópolis,TO,7104
Paraíso do Tocantins,TO,55704
Paranã,TO,10877
Pau D'Arco,TO,4057
Pedro Afonso,TO,14895
Peixe,TO,9384
Pequizeiro,TO,5035
Colméia,TO,9155
Pindorama do Tocantins,TO,4599
Piraquê,TO,2229
Pium,TO,7408
Ponte Alta do Bom Jesus,TO,4280
Ponte Alta do Tocantins,TO,7874
Porto Alegre do Tocantins,TO,2960
Porto Nacional,TO,69551
Praia Norte,TO,9552
Presidente Kennedy,TO,3016
Pugmil,TO,2223
Recursolândia,TO,3454
Riachinho,TO,4029
Rio da Conceição,TO,1827
Rio dos Bois,TO,2845
Rio Sono,TO,4718
Sampaio,TO,4397
Sandolândia,TO,3900
Santa Fé do Araguaia,TO,7533
Santa Maria do Tocantins,TO,2716
Santa Rita do Tocantins,TO,2299
Santa Rosa do Tocantins,TO,4799
Santa Tereza do Tocantins,TO,2907
Santa Terezinha do Tocantins,TO,2461
São Bento do Tocantins,TO,6004
São Félix do Tocantins,TO,1897
São Miguel do Tocantins,TO,14116
São Salvador do Tocantins,TO,2356
São Sebastião do Tocantins,TO,4182
São Valério,TO,4554
Silvanópolis,TO,5259
Sítio Novo do Tocantins,TO,11446
Sucupira,TO,1591
Taguatinga,TO,14199
Taipas do Tocantins,TO,2092
Talismã,TO,2505
Palmas,TO,328499
Tocantínia,TO,7802
Tocantinópolis,TO,23225
Tupirama,TO,2024
Tupiratins,TO,1886
Wanderlândia,TO,10734
Xambioá,TO,10636
Açailândia,MA,110611
Afonso Cunha,MA,6303
Água Doce do Maranhão,MA,12461
Alcântara,MA,18721
Aldeias Altas,MA,23776
Altamira do Maranhão,MA,6549
Alto Alegre do Maranhão,MA,24528
Alto Alegre do Pindaré,MA,26321
Alto Parnaíba,MA,11392
Amapá do Maranhão,MA,7380
Amarante do Maranhão,MA,38335
Anajatuba,MA,26250
Anapurus,MA,14113
Apicum-Açu,MA,18033
Araguanã,MA,11297
Araioses,MA,40231
Arame,MA,26089
Arari,MA,30555
Axixá,MA,12091
Bacabal,MA,107755
Bacabeira,MA,17459
Bacuri,MA,16591
Bacurituba,MA,5375
Balsas,MA,105974
Barão de Grajaú,MA,19493
Barra do Corda,MA,87757
Barreirinhas,MA,68234
Belágua,MA,8751
Bela Vista do Maranhão,MA,12104
Benedito Leite,MA,5599
Bequimão,MA,19968
Bernardo do Mearim,MA,5989
Boa Vista do Gurupi,MA,7781
Bom Jardim,MA,33936
Bom Jesus das Selvas,MA,29606
Bom Lugar,MA,12371
Brejo,MA,35354
Brejo de Areia,MA,9363
Buriti,MA,30866
Buriti Bravo,MA,22938
Buriticupu,MA,56733
Buritirana,MA,13125
Cachoeira Grande,MA,10032
Cajapió,MA,10336
Cajari,MA,16680
Campestre do Maranhão,MA,12536
Cândido Mendes,MA,20440
Cantanhede,MA,25059
Capinzal do Norte,MA,11681
Carolina,MA,24619
Carutapera,MA,24906
Caxias,MA,163546
Cedral,MA,10446
Central do Maranhão,MA,7220
Centro do Guilherme,MA,12693
Centro Novo do Maranhão,MA,16477
Chapadinha,MA,84395
Cidelândia,MA,13141
Codó,MA,118283
Coelho Neto,MA,42841
Colinas,MA,41788
Conceição do Lago-Açu,MA,15278
Coroatá,MA,61337
Cururupu,MA,32602
Davinópolis,MA,14828
Dom Pedro,MA,23594
Duque Bacelar,MA,10443
Esperantinópolis,MA,18734
Estreito,MA,34321
Feira Nova do Maranhão,MA,8237
Fernando Falcão,MA,11219
Formosa da Serra Negra,MA,18150
Fortaleza dos Nogueiras,MA,12963
Fortuna,MA,17347
Godofredo Viana,MA,10424
Gonçalves Dias,MA,17580
Governador Archer,MA,10476
Governador Edison Lobão,MA,18963
Governador Eugênio Barros,MA,14264
Governador Luiz Rocha,MA,7216
Governador Newton Bello,MA,10993
Governador Nunes Freire,MA,23526
Graça Aranha,MA,6160
Grajaú,MA,76837
Guimarães,MA,10439
Humberto de Campos,MA,26550
Icatu,MA,25332
Igarapé do Meio,MA,14383
Igarapé Grande,MA,10461
Imperatriz,MA,285806
Itaipava do Grajaú,MA,14142
Itapecuru Mirim,MA,62264
Itinga do Maranhão,MA,22896
Jatobá,MA,7593
Jenipapo dos Vieiras,MA,17529
João Lisboa,MA,25311
Joselândia,MA,15227
Junco do Maranhão,MA,5282
Lago da Pedra,MA,45865
Lago do Junco,MA,9687
Lago Verde,MA,15069
Lagoa do Mato,MA,10806
Lago dos Rodrigues,MA,8962
Lagoa Grande do Maranhão,MA,11731
Lajeado Novo,MA,7232
Lima Campos,MA,11559
Loreto,MA,11884
Luís Domingues,MA,7366
Magalhães de Almeida,MA,13933
Maracaçumé,MA,21730
Marajá do Sena,MA,7153
Maranhãozinho,MA,14092
Mata Roma,MA,17581
Matinha,MA,22540
Matões,MA,33327
Matões do Norte,MA,18021
Milagres do Maranhão,MA,9065
Mirador,MA,21536
Miranda do Norte,MA,24373
Mirinzal,MA,14298
Monção,MA,28563
Montes Altos,MA,9306
Morros,MA,19015
Nina Rodrigues,MA,14589
Nova Colinas,MA,5148
Nova Iorque,MA,4409
Nova Olinda do Maranhão,MA,14379
Olho d'Água das Cunhãs,MA,18288
Olinda Nova do Maranhão,MA,13921
Paço do Lumiar,MA,153158
Palmeirândia,MA,21657
Paraibano,MA,18589
Parnarama,MA,32232
Passagem Franca,MA,17591
Pastos Bons,MA,19266
Paulino Neves,MA,17578
Paulo Ramos,MA,20798
Pedreiras,MA,38252
Pedro do Rosário,MA,24955
Penalva,MA,33496
Peri Mirim,MA,11229
Peritoró,MA,20903
Pindaré-Mirim,MA,32542
Pinheiro,MA,88091
Pio XII,MA,22374
Pirapemas,MA,18132
Poção de Pedras,MA,17394
Porto Franco,MA,24571
Porto Rico do Maranhão,MA,6092
Presidente Dutra,MA,46606
Presidente Juscelino,MA,11616
Presidente Médici,MA,4717
Presidente Sarney,MA,17925
Presidente Vargas,MA,10791
Primeira Cruz,MA,13920
Raposa,MA,32156
Riachão,MA,22740
Ribamar Fiquene,MA,7601
Rosário,MA,39761
Sambaíba,MA,6234
Santa Filomena do Maranhão,MA,6833
Santa Helena,MA,43200
Santa Inês,MA,88249
Santa Luzia,MA,58839
Santa Luzia do Paruá,MA,24890
Santa Quitéria do Maranhão,MA,24495
Santa Rita,MA,38542
Santana do Maranhão,MA,10759
Santo Amaro do Maranhão,MA,14287
Santo Antônio dos Lopes,MA,14628
São Benedito do Rio Preto,MA,18810
São Bento,MA,48166
São Bernardo,MA,27910
São Domingos do Azeitão,MA,8236
São Domingos do Maranhão,MA,35247
São Félix de Balsas,MA,4491
São Francisco do Brejão,MA,9202
São Francisco do Maranhão,MA,12360
São João Batista,MA,18889
São João do Carú,MA,12360
São João do Paraíso,MA,10091
São João do Soter,MA,17253
São João dos Patos,MA,25910
São José de Ribamar,MA,259164
São José dos Basílios,MA,7094
São Luís,MA,1089215
São Luís Gonzaga do Maranhão,MA,18123
São Mateus do Maranhão,MA,40177
São Pedro da Água Branca,MA,14786
São Pedro dos Crentes,MA,5993
São Raimundo das Mangabeiras,MA,19158
São Raimundo do Doca Bezerra,MA,5761
São Roberto,MA,4577
São Vicente Ferrer,MA,19865
Satubinha,MA,8821
Senador Alexandre Costa,MA,10447
Senador La Rocque,MA,15044
Serrano do Maranhão,MA,10475
Sítio Novo,MA,17464
Sucupira do Norte,MA,10471
Sucupira do Riachão,MA,5081
Tasso Fragoso,MA,9130
Timbiras,MA,27328
Timon,MA,182711
Trizidela do Vale,MA,23097
Tufilândia,MA,5633
Tuntum,MA,37364
Turiaçu,MA,38993
Turilândia,MA,33219
Tutóia,MA,55076
Urbano Santos,MA,34143
Vargem Grande,MA,44444
Viana,MA,53176
Vila Nova dos Martírios,MA,10561
Vitória do Mearim,MA,31859
Vitorino Freire,MA,31920
Zé Doca,MA,41815
Acauã,PI,6323
Agricolândia,PI,5016
Água Branca,PI,18095
Alagoinha do Piauí,PI,6876
Alegrete do Piauí,PI,4707
Alto Longá,PI,13729
Altos,PI,50094
Alvorada do Gurguéia,PI,5474
Amarante,PI,17594
Angical do Piauí,PI,6991
Anísio de Abreu,PI,9649
Antônio Almeida,PI,3234
Aroazes,PI,5413
Aroeiras do Itaim,PI,2777
Arraial,PI,4517
Assunção do Piauí,PI,7596
Avelino Lopes,PI,11118
Baixa Grande do Ribeiro,PI,13983
Barra D'Alcântara,PI,4099
Barras,PI,49703
Barreiras do Piauí,PI,3336
Barro Duro,PI,6731
Batalha,PI,27129
Bela Vista do Piauí,PI,4225
Belém do Piauí,PI,3515
Beneditinos,PI,10093
Bertolínia,PI,5715
Betânia do Piauí,PI,6596
Boa Hora,PI,7140
Bocaina,PI,4118
Bom Jesus,PI,30658
Bom Princípio do Piauí,PI,5805
Bonfim do Piauí,PI,6117
Boqueirão do Piauí,PI,6751
Brasileira,PI,8684
Brejo do Piauí,PI,3964
Buriti dos Lopes,PI,20130
Buriti dos Montes,PI,7517
Cabeceiras do Piauí,PI,10466
Cajazeiras do Piauí,PI,3135
Cajueiro da Praia,PI,8246
Caldeirão Grande do Piauí,PI,5602
Campinas do Piauí,PI,4964
Campo Alegre do Fidalgo,PI,4698
Campo Grande do Piauí,PI,6211
Campo Largo do Piauí,PI,7669
Campo Maior,PI,47119
Canavieira,PI,3404
Canto do Buriti,PI,19639
Capitão de Campos,PI,11362
Capitão Gervásio Oliveira,PI,4071
Caracol,PI,10546
Caraúbas do Piauí,PI,5581
Caridade do Piauí,PI,5176
Castelo do Piauí,PI,19669
Caxingó,PI,5682
Cocal,PI,29302
Cocal de Telha,PI,5046
Cocal dos Alves,PI,6596
Coivaras,PI,4249
Colônia do Gurguéia,PI,6294
